name,WEIGHT,HEIGHT,DEPTH,WIDTH,VOLUME,RANK,id
Safe,30,20,20,31,12400,3550,987
Electric Wheelchair,100,50,106,66,349800,3560,26210
Snuggle Chair,10,90,50,60,270000,3570,28413
10 Seater Dining Table,79,116,210,75,1827000,3590,493
Picnic Bench,45,90,50,140,630000,3600,934
Cooker Hood,20,60,26,22,34320,3610,657
Double Futon,35,55,98,135,727650,3620,696
Photocopier,70,100,60,100,600000,3640,932
Statue,43,141,60,60,507600,3650,1051
Gas Hob,11,7,52,86,31304,3660,774
Quad Wardrobe,140,62,210,218,2838360,3670,435520
Bathroom Basin,28,85,80,62,421600,3680,26097
Folding Bicycle,20,95,30,140,399000,3690,26227
Free Standing Bath,80,65,80,170,884000,3700,26231
Golf Trolley,11,30,20,58,34800,3710,784
Plant Stand,2,15,10,10,1500,3720,942
Telephone Table,40,100,100,140,1400000,3730,28607
Pedestal Desk,40,80,80,177,1132800,3750,929
Storage Bench,15,43,43,43,79507,3760,1056
School Desk,20,100,93,140,1302000,3770,27968
Deck Chair,5,120,10,93,111600,3780,435504
Upright Fridge,40,55,54,87,258390,3790,435539
Document,1,30,10,20,6000,3800,684
Snowboard,50,36,15,49,26460,3810,1040
Towel Rail,2,100,5,50,25000,3820,1093
Wheelbarrow,20,61,21,57,73017,3830,1141
Outboard Engine,50,120,80,100,960000,3840,27925
Trampoline (12Ft-20Ft),100,20,365,515,3759500,3850,435534
Aquarium,20,50,50,36,90000,3860,516
Dog Kennel,40,80,40,57,182400,3870,688
Fishing Tackle,10,1,1,2,2,3880,741
French Door,70,209,20,100,418000,3890,26234
Paint,4,60,4,60,14400,3900,27929
Frame,3,80,4,60,19200,3910,756
Punch Bag,25,137,60,40,328800,3920,962
Double Buggy,15,30,30,70,63000,3930,26178
Computer Speaker,10,13,26,36,12168,3940,435500
Extractor Fan,2,99,51,60,302940,3950,26215
4 Seater Table,28,92,89,74,605912,3960,503
Cast Iron Bath,136,153,45,82,564570,3970,617
Sculpture,50,150,50,170,1275000,3980,992
Two Seater Reclining Sofa,45,95,154,97,1419110,3990,455677
Three Seater Reclining Sofa,55,94,213,98,1962156,4000,455685
Massage Table,11,87,60,185,965700,4010,881
Roof Rack,29,183,58,94,997716,4020,980
Marble Coffee Table,20,48,104,110,549120,4030,27453
Childs Bed,40,98,90,158,1393560,4040,630
Generator,48,57,64,63,229824,4050,778
Bath Panel,80,65,80,170,884000,4060,26095
Vase,10,13,26,36,12168,4070,435540
Food Mixer,4,31,34,25,26350,4080,752
Strimmer,3,70,40,30,84000,4090,1062
Tea Trolley,8,70,10,65,45500,4100,1078
Swing,20,200,40,40,320000,4110,1296
Reception Desk,80,90,100,320,2880000,4120,10401
Coachbuilt Pram,37,125,59,59,435125,4130,640
Shower Unit,36,195,30,90,526500,4140,1005
49 Inch Tv,26,80,36,124,357120,4150,26035
Bike Rack,10,95,20,100,190000,4160,554
Paper Shredder,16,59,29,35,59885,4170,917
Car Front Bumper,4,60,60,87,313200,4180,26117
Sink Unit,60,60,26,46,71760,4190,27977
Spin Bike,80,140,60,127,1066800,4200,28417
Single Headboard,20,10,50,80,40000,4210,435527
One Seater Sofa Bed,60,70,70,58,284200,4220,455663
Organ,320,127,153,182,3536442,4230,907
Toy Kitchen,12,100,50,100,500000,4240,28613
Small Single Mattress,17,24,75,155,279000,4250,455661
Bmx,10,85,40,140,476000,4260,562
Playhouse,45,158,140,186,4114320,4270,944
Slide,23,150,51,34,260100,4280,1018
Electric Drum Kit,25,90,61,62,340380,4290,26202
Sea Kayak,16,47,26,72,87984,4300,27969
Boiler,15,60,30,42,75600,4310,566
65 Inch Tv,34,107,52,165,918060,4320,26051
Adult Tricycle,30,80,36,208,599040,4330,26080
Children Playhouse,45,158,140,186,4114320,4340,26141
Marble Dining Table,200,100,100,160,1600000,4350,27454
Chesterfield Sofa,50,75,90,170,1147500,4360,435494
Ceiling Light,16,36,18,102,66096,4370,620
Large Chandelier,60,110,105,105,1212750,4380,626
Tandem Bike,28,69,20,200,276000,4390,1076
Wine,40,13,26,36,12168,4400,1151
Cast Iron Radiator,100,76,14,140,148960,4410,26130
Kids Quad Bike,30,65,66,97,416130,4420,26656
Chinese Rug,5,10,10,244,24400,4430,26144
Childs Trampoline,5,20,90,90,162000,4440,435498
Electric Scooter,18,105,107,43,483105,4450,717
Loveseat,32,86,87,118,882876,4460,872
One Seater Couch,33,89,45,85,340425,4470,27922
Kitchen Stool,12,45,44,93,184140,4480,435530
Small Double Divan,51,157,120,81,1526040,4490,455678
Awning,20,100,100,100,1000000,4500,521
Clock,10,13,26,36,12168,4510,636
Super King Divan,118,196,178,63,2197944,4520,455686
Box Of Files,10,50,50,30,75000,4530,577
Hedge Trimmer,4,18,19,75,25650,4540,802
Trestle Table,16,74,20,140,207200,4550,1102
Barber Chair,10,90,50,60,270000,4560,26092
Toy Car,12,100,50,100,500000,4570,28612
Camera,10,13,26,36,12168,4580,586
Car Boot Lid,20,48,101,11,53328,4590,596
Gearbox,40,45,20,46,41400,4600,777
Home Bar,50,100,400,100,4000000,4610,805
Snooker Table,1150,86,381,357,11697462,4620,1039
King Divan,75,193,150,63,1823850,4630,455684
Paperwork,1,30,1,21,630,4640,918
Plinth,30,100,50,50,250000,4650,1300
Turntable,10,50,40,40,80000,4660,1305
Drinks Fridge,80,175,80,150,2100000,4670,26189
Drinks Trolley,55,71,40,78,221520,4680,26190
Pressure Washer,11,40,48,59,113280,4690,27950
Radiator Cover,20,111,19,82,172938,4700,967
Barrell,30,88,50,50,220000,4710,1312
Driveway Gates,64,183,5,152,139080,4720,708
Gas Fire,15,46,56,80,206080,4730,26247
Car Wing,11,120,30,152,547200,4740,610
Fire Door,35,91,4,198,72072,4750,732
Hall Stand,5,76,40,120,364800,4760,792
Magazine Rack,3,20,3,22,1320,4770,876
Air Compressor,2,13,24,33,10296,4780,26081
Potters Wheel,2,32,22,28,19712,4790,950
Radiogram,30,75,40,100,300000,4800,969
Saddle,5,38,38,13,18772,4810,986
Baby Clothes,10,100,40,40,160000,4820,523
Carpet Cleaner,10,70,28,51,99960,4830,613
Dehumidifier,25,40,42,40,67200,4840,674
Hi-Fi Unit,40,78,40,59,184080,4850,803
Table Saw,27,68,35,60,142800,4860,1072
Dumbbell,40,60,60,50,180000,4870,26194
Bird Cage,5,48,30,36,51840,4880,558
Projector Screen,20,25,27,121,81675,4900,960
Washstand,15,71,48,51,173808,4910,1131
30 Inch Tv,16,49,17,76,63308,4920,26014
43 Inch Tv,23,70,30,109,228900,4930,26029
